SNO,Date,Time,SGP40,Voltage_V
128,25-09-2025,10:12:28:999687,31291,2.66
129,25-09-2025,10:12:33:288687,31285,2.69
130,25-09-2025,10:12:36:367686,31283,2.66
131,25-09-2025,10:12:39:640687,31283,2.67
132,25-09-2025,10:12:43:357648,31289,2.67
133,25-09-2025,10:12:45:989687,31285,2.67
134,25-09-2025,10:12:48:652687,31278,2.68
135,25-09-2025,10:12:51:923687,31283,2.68
136,25-09-2025,10:12:55:409687,31286,2.68
137,25-09-2025,10:12:58:491687,31296,2.68
138,25-09-2025,10:13:03:692648,31301,2.66
139,25-09-2025,10:13:09:377648,31294,2.66
140,25-09-2025,10:13:11:837648,31293,2.66
141,25-09-2025,10:13:16:748719,31289,2.66
142,25-09-2025,10:13:20:053651,31294,2.67
143,25-09-2025,10:13:22:893651,31307,2.66
144,25-09-2025,10:13:26:640674,31318,2.67
145,25-09-2025,10:13:29:634651,31328,2.67
146,25-09-2025,10:13:36:616651,31344,2.66
147,25-09-2025,10:13:40:107651,31353,2.67
148,25-09-2025,10:13:43:176651,31358,2.67
149,25-09-2025,10:13:45:864651,31360,2.66
150,25-09-2025,10:13:48:710651,31353,2.67
151,25-09-2025,10:13:51:563651,31354,2.67
152,25-09-2025,10:13:55:054651,31353,2.66
153,25-09-2025,10:13:58:019651,31353,2.67
154,25-09-2025,10:14:02:813692,31364,2.66
155,25-09-2025,10:14:05:717651,31366,2.66
156,25-09-2025,10:14:08:677651,31372,2.67
157,25-09-2025,10:14:11:877651,31372,2.68
158,25-09-2025,10:14:15:428651,31369,2.66
159,25-09-2025,10:14:18:258651,31371,2.67
160,25-09-2025,10:14:21:981651,31374,2.67
161,25-09-2025,10:14:26:998713,31379,2.67
162,25-09-2025,10:14:29:666651,31371,2.67
163,25-09-2025,10:14:34:055651,31369,2.66
164,25-09-2025,10:14:59:710657,31379,2.67
165,25-09-2025,10:15:04:914652,31379,2.67
166,25-09-2025,10:15:12:154651,31379,2.68
167,25-09-2025,10:15:25:665656,31358,2.68
168,25-09-2025,10:15:37:968656,31339,2.67
169,25-09-2025,10:15:50:173656,31313,2.67
170,25-09-2025,10:15:59:825654,31302,2.66
171,25-09-2025,10:16:04:695651,31296,2.65
172,25-09-2025,10:16:09:399651,31286,2.66
173,25-09-2025,10:16:12:730651,31291,2.67
174,25-09-2025,10:16:16:783651,31291,2.67
175,25-09-2025,10:16:19:842651,31283,2.67
176,25-09-2025,10:16:24:770651,31278,2.67
177,25-09-2025,10:16:28:369651,31276,2.66
178,25-09-2025,10:16:31:518651,31278,2.66
179,25-09-2025,10:16:35:002651,31283,2.66
180,25-09-2025,10:16:38:996651,31277,2.67
181,25-09-2025,10:16:42:078651,31263,2.66
182,25-09-2025,10:16:45:236721,31266,2.66
183,25-09-2025,10:16:48:731651,31277,2.67
184,25-09-2025,10:16:52:573651,31267,2.66
185,25-09-2025,10:16:55:902651,31257,2.67
186,25-09-2025,10:17:01:331651,31250,2.67
187,25-09-2025,10:17:05:539651,31257,2.67
188,25-09-2025,10:17:12:703651,31249,2.66
189,25-09-2025,10:17:16:489651,31247,2.66
190,25-09-2025,10:17:30:027656,31237,2.67
191,25-09-2025,10:17:39:976655,31267,2.67
192,25-09-2025,10:17:51:332696,31275,2.66
193,25-09-2025,10:17:56:500684,31280,2.66
194,25-09-2025,10:18:04:223689,31281,2.66
195,25-09-2025,10:18:09:391685,31278,2.68
196,25-09-2025,10:18:13:909688,31273,2.66
197,25-09-2025,10:18:16:857687,31277,2.67
198,25-09-2025,10:18:20:234687,31281,2.68
199,25-09-2025,10:18:24:124687,31288,2.67
200,25-09-2025,10:18:32:111687,31294,2.68
201,25-09-2025,10:18:35:664689,31299,2.67
202,25-09-2025,10:18:39:075732,31299,2.66
203,25-09-2025,10:18:42:589651,31303,2.66
204,25-09-2025,10:18:45:419689,31306,2.68
205,25-09-2025,10:18:49:108689,31311,2.67
206,25-09-2025,10:18:52:001689,31311,2.67
207,25-09-2025,10:18:55:051689,31314,2.68
208,25-09-2025,10:18:58:423689,31320,2.67
209,25-09-2025,10:19:01:393689,31317,2.68
210,25-09-2025,10:19:05:497687,31319,2.68
211,25-09-2025,10:19:12:183686,31318,2.68
212,25-09-2025,10:19:16:456689,31318,2.69
213,25-09-2025,10:19:19:947689,31318,2.66
214,25-09-2025,10:19:23:217689,31314,2.67
215,25-09-2025,10:19:26:429689,31311,2.67
216,25-09-2025,10:19:29:687689,31313,2.67
217,25-09-2025,10:19:34:063689,31306,2.67
218,25-09-2025,10:19:39:845689,31303,2.66
219,25-09-2025,10:19:42:599651,31298,2.67
220,25-09-2025,10:19:46:651689,31298,2.68
221,25-09-2025,10:19:49:747689,31299,2.67
222,25-09-2025,10:19:53:829739,31297,2.68
223,25-09-2025,10:19:56:691689,31292,2.68
224,25-09-2025,10:19:59:772689,31292,2.69
225,25-09-2025,10:20:03:041689,31296,2.66
226,25-09-2025,10:20:05:708689,31298,2.68
227,25-09-2025,10:20:08:361689,31298,2.68
228,25-09-2025,10:20:11:346689,31301,2.67
229,25-09-2025,10:20:16:148689,31298,2.67
230,25-09-2025,10:20:19:726687,31299,2.68
231,25-09-2025,10:20:22:503689,31296,2.67
232,25-09-2025,10:20:25:772689,31296,2.66
233,25-09-2025,10:20:29:050689,31292,2.67
234,25-09-2025,10:20:32:242689,31296,2.66
235,25-09-2025,10:20:35:810689,31301,2.67
236,25-09-2025,10:20:39:196689,31292,2.68
237,25-09-2025,10:20:42:503651,31294,2.67
238,25-09-2025,10:20:48:129689,31296,2.66
239,25-09-2025,10:20:51:789689,31297,2.68
240,25-09-2025,10:20:55:277688,31296,2.66
241,25-09-2025,10:21:03:877689,31276,2.67
242,25-09-2025,10:21:09:406689,31268,2.67
243,25-09-2025,10:21:12:983687,31260,2.68
244,25-09-2025,10:21:16:598687,31263,2.67
245,25-09-2025,10:21:20:879689,31266,2.68
246,25-09-2025,10:21:25:189689,31268,2.69
247,25-09-2025,10:21:30:913689,31272,2.67
248,25-09-2025,10:21:33:898689,31278,2.66
249,25-09-2025,10:21:37:599689,31281,2.67
250,25-09-2025,10:21:41:081651,31289,2.67
251,25-09-2025,10:21:44:012718,31289,2.67
252,25-09-2025,10:21:46:686689,31288,2.68
253,25-09-2025,10:21:49:646689,31283,2.66
254,25-09-2025,10:21:53:555689,31277,2.69
255,25-09-2025,10:21:57:126689,31276,2.68
