SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
1783,04-08-2025,11:41:25:000,Pre-Puff,370,89.61,89.54,,,,0.05,24.84,,p-Cresol,1ml,6
1784,04-08-2025,11:41:26:000,Pre-Puff,370,93.39,95.76,,,,0.05,24.61,,p-Cresol,1ml,6
1785,04-08-2025,11:41:27:000,Pre-Puff,370,94.13,97.83,,,,0.04,29.60,,p-Cresol,1ml,6
1786,04-08-2025,11:41:29:000,Pre-Puff,370,94.89,96.72,,,,0.06,30.94,,p-Cresol,1ml,6
1787,04-08-2025,11:41:30:000,Pre-Puff,370,87.52,91.68,,,,0.05,21.45,,p-Cresol,1ml,6
1788,04-08-2025,11:41:32:000,Pre-Puff,370,94.63,94.15,,,,0.06,28.07,,p-Cresol,1ml,6
1789,04-08-2025,11:41:33:000,Pre-Puff,370,93.24,94.72,,,,0.05,29.11,,p-Cresol,1ml,6
1790,04-08-2025,11:41:34:000,Pre-Puff,370,93.84,95.31,,,,0.04,27.88,,p-Cresol,1ml,6
1791,04-08-2025,11:41:35:000,Pre-Puff,370,93.12,96.25,,,,0.06,28.36,,p-Cresol,1ml,6
1792,04-08-2025,11:41:37:000,Pre-Puff,370,91.68,94.84,,,,0.06,29.71,,p-Cresol,1ml,6
1793,04-08-2025,11:41:38:000,Pre-Puff,370,93.26,96.64,,,,0.05,22.19,,p-Cresol,1ml,6
1794,04-08-2025,11:41:40:000,Pre-Puff,370,93.53,95.63,,,,0.06,26.13,,p-Cresol,1ml,6
1795,04-08-2025,11:41:41:000,Pre-Puff,370,89.38,90.68,,,,0.05,21.68,,p-Cresol,1ml,6
1796,04-08-2025,11:41:42:000,Pre-Puff,370,93.67,95.47,,,,0.05,29.82,,p-Cresol,1ml,6
1797,04-08-2025,11:41:44:000,Pre-Puff,370,93.63,93.80,,,,0.04,23.40,,p-Cresol,1ml,6
1798,04-08-2025,11:41:45:000,Pre-Puff,370,95.33,94.53,,,,0.04,25.96,,p-Cresol,1ml,6
1799,04-08-2025,11:41:46:000,Pre-Puff,370,86.69,91.90,,,,0.05,24.09,,p-Cresol,1ml,6
1800,04-08-2025,11:41:47:000,Pre-Puff,370,93.88,94.12,,,,0.05,19.49,,p-Cresol,1ml,6
1801,04-08-2025,11:41:49:000,Pre-Puff,370,94.69,95.80,,,,0.04,28.32,,p-Cresol,1ml,6
1802,04-08-2025,11:41:50:000,Pre-Puff,370,94.28,95.86,,,,0.06,25.13,,p-Cresol,1ml,6
1803,04-08-2025,11:41:51:000,Pre-Puff,370,93.71,94.16,,,,0.05,23.82,,p-Cresol,1ml,6
1804,04-08-2025,11:41:52:000,Pre-Puff,370,93.80,95.57,,,,0.04,24.04,,p-Cresol,1ml,6
1805,04-08-2025,11:41:55:000,Pre-Puff,370,92.82,95.22,,,,0.05,18.79,,p-Cresol,1ml,6
1806,04-08-2025,11:41:56:000,Pre-Puff,370,93.13,95.77,,,,0.06,20.03,,p-Cresol,1ml,6
1807,04-08-2025,11:41:57:000,Pre-Puff,370,94.99,96.29,,,,0.06,30.26,,p-Cresol,1ml,6
1808,04-08-2025,11:41:59:000,Pre-Puff,370,91.83,102.52,,,,0.05,27.23,,p-Cresol,1ml,6
1809,04-08-2025,11:42:00:000,Pre-Puff,370,92.92,97.11,,,,0.04,23.74,,p-Cresol,1ml,6
1810,04-08-2025,11:42:01:000,Pre-Puff,370,91.99,95.97,,,,0.05,20.66,,p-Cresol,1ml,6
1811,04-08-2025,11:42:02:000,Pre-Puff,370,92.15,94.67,,,,0.06,24.89,,p-Cresol,1ml,6
1812,04-08-2025,11:42:04:000,Pre-Puff,370,94.96,96.71,,,,0.05,30.33,,p-Cresol,1ml,6
1813,04-08-2025,11:42:05:000,Pre-Puff,370,90.86,92.45,,,,0.05,21.23,,p-Cresol,1ml,6
1814,04-08-2025,11:42:07:000,Pre-Puff,370,94.98,95.88,,,,0.05,29.93,,p-Cresol,1ml,6
1815,04-08-2025,11:42:08:000,Pre-Puff,370,92.27,95.67,,,,0.06,26.36,,p-Cresol,1ml,6
1816,04-08-2025,11:42:09:000,Pre-Puff,370,93.46,94.76,,,,0.05,20.85,,p-Cresol,1ml,6
1817,04-08-2025,11:42:10:000,Pre-Puff,370,93.86,95.86,,,,0.04,24.31,,p-Cresol,1ml,6
1818,04-08-2025,11:42:12:000,Pre-Puff,370,92.51,95.21,,,,0.05,22.57,,p-Cresol,1ml,6
1819,04-08-2025,11:42:13:000,Pre-Puff,370,93.19,94.30,,,,0.05,27.47,,p-Cresol,1ml,6
1820,04-08-2025,11:42:14:000,Pre-Puff,370,90.41,94.34,,,,0.06,19.91,,p-Cresol,1ml,6
1821,04-08-2025,11:42:15:000,Pre-Puff,370,93.31,94.41,,,,0.05,24.76,,p-Cresol,1ml,6
1822,04-08-2025,11:42:17:000,Pre-Puff,370,92.66,94.71,,,,0.04,28.85,,p-Cresol,1ml,6
1823,04-08-2025,11:42:18:000,Pre-Puff,370,91.89,95.30,,,,0.04,24.76,,p-Cresol,1ml,6
1824,04-08-2025,11:42:19:000,Pre-Puff,370,93.19,96.93,,,,0.05,21.77,,p-Cresol,1ml,6
1825,04-08-2025,11:42:21:000,Pre-Puff,370,95.57,95.77,,,,0.04,21.32,,p-Cresol,1ml,6
1826,04-08-2025,11:42:22:000,Pre-Puff,370,93.58,95.32,,,,0.04,29.83,,p-Cresol,1ml,6
1827,04-08-2025,11:42:23:000,Pre-Puff,370,93.27,94.39,,,,0.05,24.27,,p-Cresol,1ml,6
1828,04-08-2025,11:42:25:000,Puff,370,91.45,94.50,,,,2.28,1572.63,,p-Cresol,1ml,6
1829,04-08-2025,11:42:26:000,Puff,370,94.48,96.59,,,,2.27,1546.67,,p-Cresol,1ml,6
1830,04-08-2025,11:42:27:000,Puff,370,94.26,96.87,,,,2.26,1565.39,,p-Cresol,1ml,6
1831,04-08-2025,11:42:29:000,Puff,370,95.41,95.27,,,,2.26,1546.13,,p-Cresol,1ml,6
1832,04-08-2025,11:42:30:000,Puff,370,92.61,94.78,,,,2.27,1545.68,,p-Cresol,1ml,6
1833,04-08-2025,11:42:31:000,Puff,370,91.60,94.82,,,,2.29,1566.29,,p-Cresol,1ml,6
1834,04-08-2025,11:42:32:000,Puff,370,90.24,88.25,,,,2.31,1570.72,,p-Cresol,1ml,6
1835,04-08-2025,11:42:34:000,Puff,370,94.54,95.79,,,,2.29,1583.78,,p-Cresol,1ml,6
1836,04-08-2025,11:42:35:000,Puff,370,93.69,93.51,,,,2.31,1576.48,,p-Cresol,1ml,6
1837,04-08-2025,11:42:37:000,Puff,370,94.40,95.50,,,,2.29,1558.92,,p-Cresol,1ml,6
1838,04-08-2025,11:42:38:000,Puff,370,90.72,91.94,,,,2.28,1549.71,,p-Cresol,1ml,6
1839,04-08-2025,11:42:40:000,Puff,370,93.39,95.53,,,,2.28,1565.48,,p-Cresol,1ml,6
1840,04-08-2025,11:42:41:000,Puff,370,94.11,95.36,,,,2.30,1562.71,,p-Cresol,1ml,6
1841,04-08-2025,11:42:42:000,Puff,370,95.23,95.71,,,,2.30,1568.60,,p-Cresol,1ml,6
1842,04-08-2025,11:42:44:000,Puff,370,94.81,95.51,,,,2.29,1551.41,,p-Cresol,1ml,6
1843,04-08-2025,11:42:45:000,Puff,370,87.27,91.46,,,,2.30,1561.54,,p-Cresol,1ml,6
1844,04-08-2025,11:42:46:000,Puff,370,88.12,91.84,,,,2.28,1552.03,,p-Cresol,1ml,6
