SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME_Temp,BME_Hum,BME_HeaterRes,Alpha_PID,SPEC,SGP40_VOC,VOC,Concentration,Distance
39,05-08-2025,10:35:05:249465,Pre-Puff,322,82.93,83.27,30.30,68.53,32144,0.041,0.022,29819,p-Cresol,1ml,6
40,05-08-2025,10:35:07:090463,Pre-Puff,322,83.78,85.92,30.29,68.60,32144,0.052,0.020,29819,p-Cresol,1ml,6
41,05-08-2025,10:35:08:730465,Pre-Puff,322,85.38,85.60,30.29,68.63,32364,0.045,0.023,29823,p-Cresol,1ml,6
42,05-08-2025,10:35:10:169463,Pre-Puff,322,82.14,82.13,30.29,68.62,32636,0.048,0.023,29825,p-Cresol,1ml,6
43,05-08-2025,10:35:11:595464,Pre-Puff,322,83.39,85.34,30.29,68.59,33143,0.048,0.015,29832,p-Cresol,1ml,6
44,05-08-2025,10:35:13:438463,Pre-Puff,322,85.38,83.79,30.28,68.64,33195,0.050,0.016,29828,p-Cresol,1ml,6
45,05-08-2025,10:35:15:080465,Pre-Puff,322,84.52,85.18,30.28,68.67,33324,0.052,0.018,29829,p-Cresol,1ml,6
46,05-08-2025,10:35:16:719463,Pre-Puff,322,85.55,84.73,30.28,68.69,33376,0.051,0.023,29833,p-Cresol,1ml,6
47,05-08-2025,10:35:18:354465,Pre-Puff,322,83.18,85.85,30.27,68.71,33799,0.050,0.025,29835,p-Cresol,1ml,6
48,05-08-2025,10:35:20:008463,Pre-Puff,322,84.16,86.44,30.27,68.72,34015,0.045,0.024,29838,p-Cresol,1ml,6
49,05-08-2025,10:35:21:426464,Pre-Puff,322,83.53,83.10,30.27,68.69,34316,0.041,0.017,29838,p-Cresol,1ml,6
50,05-08-2025,10:35:22:859464,Pre-Puff,322,83.75,86.13,30.28,68.65,34678,0.045,0.024,29838,p-Cresol,1ml,6
51,05-08-2025,10:35:24:704465,Pre-Puff,322,84.21,84.10,30.27,68.69,34454,0.043,0.017,29839,p-Cresol,1ml,6
52,05-08-2025,10:35:26:549463,Pre-Puff,322,81.56,82.42,30.26,68.75,34650,0.047,0.019,29844,p-Cresol,1ml,6
53,05-08-2025,10:35:27:980464,Pre-Puff,322,82.14,83.36,30.26,68.74,35049,0.042,0.022,29846,p-Cresol,1ml,6
54,05-08-2025,10:35:29:825463,Pre-Puff,322,83.13,86.42,30.25,68.75,34934,0.048,0.018,29849,p-Cresol,1ml,6
55,05-08-2025,10:35:31:464465,Pre-Puff,322,82.91,85.70,30.25,68.75,35193,0.056,0.020,29855,p-Cresol,1ml,6
56,05-08-2025,10:35:33:305463,Pre-Puff,322,81.54,80.29,30.24,68.77,35193,0.056,0.015,29857,p-Cresol,1ml,6
57,05-08-2025,10:35:34:947465,Pre-Puff,322,85.30,85.85,30.24,68.79,35398,0.044,0.016,29857,p-Cresol,1ml,6
58,05-08-2025,10:35:36:789463,Pre-Puff,322,81.24,81.86,30.23,68.81,35368,0.041,0.020,29860,p-Cresol,1ml,6
59,05-08-2025,10:35:38:221464,Pre-Puff,322,85.64,84.13,30.24,68.76,35754,0.052,0.017,29860,p-Cresol,1ml,6
60,05-08-2025,10:35:39:861463,Pre-Puff,322,83.29,84.79,30.23,68.74,35784,0.042,0.022,29863,p-Cresol,1ml,6
61,05-08-2025,10:35:41:293464,Pre-Puff,322,83.86,83.43,30.24,68.74,36394,0.048,0.015,29864,p-Cresol,1ml,6
62,05-08-2025,10:35:42:931463,Pre-Puff,322,85.99,84.11,30.24,68.72,36519,0.053,0.016,29864,p-Cresol,1ml,6
63,05-08-2025,10:35:44:365465,Pre-Puff,322,85.58,85.70,30.24,68.71,36771,0.052,0.022,29867,p-Cresol,1ml,6
64,05-08-2025,10:35:45:798463,Pre-Puff,322,80.67,83.69,30.25,68.68,37220,0.057,0.020,29870,p-Cresol,1ml,6
65,05-08-2025,10:35:47:232465,Pre-Puff,322,82.75,86.74,30.25,68.67,37350,0.053,0.018,29872,p-Cresol,1ml,6
66,05-08-2025,10:35:48:678463,Pre-Puff,322,83.70,86.35,30.25,68.65,37547,0.057,0.016,29872,p-Cresol,1ml,6
67,05-08-2025,10:35:50:099465,Pre-Puff,322,86.26,85.72,30.25,68.64,37847,0.053,0.022,29874,p-Cresol,1ml,6
68,05-08-2025,10:35:51:951463,Pre-Puff,322,85.41,85.14,30.24,68.69,37713,0.047,0.017,29873,p-Cresol,1ml,6
69,05-08-2025,10:35:53:582465,Pre-Puff,322,83.34,85.16,30.24,68.72,37746,0.045,0.020,29873,p-Cresol,1ml,6
70,05-08-2025,10:35:55:220463,Pre-Puff,322,86.70,87.55,30.23,68.75,37813,0.045,0.021,29876,p-Cresol,1ml,6
71,05-08-2025,10:35:57:473465,Pre-Puff,322,84.95,86.17,30.21,68.89,37383,0.053,0.016,29877,p-Cresol,1ml,6
72,05-08-2025,10:35:59:133464,Pre-Puff,322,85.84,86.55,30.21,68.92,37448,0.043,0.021,29879,p-Cresol,1ml,6
73,05-08-2025,10:36:00:954464,Pre-Puff,322,83.39,85.33,30.20,68.93,37613,0.051,0.017,29881,p-Cresol,1ml,6
74,05-08-2025,10:36:02:593464,Pre-Puff,322,85.76,86.98,30.20,68.91,37713,0.041,0.017,29886,p-Cresol,1ml,6
75,05-08-2025,10:36:04:442270,Puff,322,85.84,89.55,30.20,68.94,37680,0.038,0.049,29885,p-Cresol,1ml,6
76,05-08-2025,10:36:06:280462,Puff,322,81.82,85.36,30.19,68.95,37613,0.061,0.040,29885,p-Cresol,1ml,6
77,05-08-2025,10:36:07:921464,Puff,322,86.92,86.97,30.19,68.93,37881,0.059,0.060,29885,p-Cresol,1ml,6
78,05-08-2025,10:36:09:763462,Puff,322,85.32,85.31,30.19,68.95,37746,0.054,0.049,29887,p-Cresol,1ml,6
79,05-08-2025,10:36:14:067463,Puff,322,87.92,87.68,30.16,69.33,36270,0.058,0.077,29895,p-Cresol,1ml,6
80,05-08-2025,10:36:15:701462,Puff,322,84.19,90.37,30.16,69.23,36488,0.041,0.072,29894,p-Cresol,1ml,6
81,05-08-2025,10:36:17:138463,Puff,322,86.22,87.55,30.17,69.12,36930,0.052,0.082,29894,p-Cresol,1ml,6
82,05-08-2025,10:36:18:569462,Puff,322,83.99,87.53,30.18,69.01,37847,0.068,0.073,29894,p-Cresol,1ml,6
83,05-08-2025,10:36:20:211463,Puff,322,84.81,87.69,30.18,68.97,37746,0.039,0.080,29896,p-Cresol,1ml,6
84,05-08-2025,10:36:21:641462,Puff,322,86.69,86.23,30.19,68.91,38049,0.065,0.075,29894,p-Cresol,1ml,6
85,05-08-2025,10:36:23:282464,Puff,322,81.83,83.12,30.19,68.88,38186,0.053,0.089,29895,p-Cresol,1ml,6
86,05-08-2025,10:36:24:920462,Puff,322,86.98,87.53,30.20,68.87,38461,0.033,0.106,29898,p-Cresol,1ml,6
87,05-08-2025,10:36:26:570464,Puff,322,85.30,86.37,30.19,68.89,38531,0.081,0.099,29898,p-Cresol,1ml,6
88,05-08-2025,10:36:28:400462,Puff,322,85.44,85.10,30.19,68.92,38531,0.039,0.105,29898,p-Cresol,1ml,6
89,05-08-2025,10:36:30:245463,Puff,322,82.96,86.47,30.18,68.95,38496,0.081,0.092,29895,p-Cresol,1ml,6
90,05-08-2025,10:36:31:885462,Puff,322,87.12,87.61,30.18,68.93,38670,0.072,0.094,29898,p-Cresol,1ml,6
91,05-08-2025,10:36:36:186463,Puff,322,86.53,86.13,30.15,69.35,37058,0.080,0.097,29904,p-Cresol,1ml,6
92,05-08-2025,10:36:38:026462,Puff,322,81.59,83.16,30.15,69.27,37252,0.068,0.105,29905,p-Cresol,1ml,6
93,05-08-2025,10:36:39:871463,Puff,322,84.40,87.56,30.14,69.20,37481,0.084,0.121,29904,p-Cresol,1ml,6
94,05-08-2025,10:36:41:510462,Puff,322,84.76,87.82,30.15,69.11,37746,0.086,0.105,29902,p-Cresol,1ml,6
95,05-08-2025,10:36:42:941464,Puff,322,86.93,86.29,30.16,69.02,38083,0.071,0.123,29903,p-Cresol,1ml,6
96,05-08-2025,10:36:44:789462,Puff,322,86.97,87.29,30.16,68.98,38288,0.064,0.118,29900,p-Cresol,1ml,6
97,05-08-2025,10:36:46:423463,Puff,322,85.67,89.53,30.16,68.99,38600,0.071,0.128,29900,p-Cresol,1ml,6
98,05-08-2025,10:36:48:061462,Puff,322,80.88,83.46,30.16,68.95,38917,0.065,0.120,29901,p-Cresol,1ml,6
99,05-08-2025,10:36:49:496463,Puff,322,86.58,87.60,30.17,68.91,39457,0.051,0.134,29904,p-Cresol,1ml,6
100,05-08-2025,10:36:50:929462,Puff,322,86.43,90.82,30.18,68.87,39567,0.085,0.128,29905,p-Cresol,1ml,6
101,05-08-2025,10:36:52:366464,Puff,322,86.77,89.55,30.18,68.82,39937,0.047,0.137,29905,p-Cresol,1ml,6
102,05-08-2025,10:36:53:797462,Puff,322,85.31,87.71,30.19,68.81,40314,0.078,0.125,29911,p-Cresol,1ml,6
103,05-08-2025,10:36:55:234463,Puff,322,87.51,87.23,30.19,68.79,40506,0.079,0.132,29908,p-Cresol,1ml,6
104,05-08-2025,10:36:56:664462,Puff,322,86.22,89.34,30.19,68.77,40777,0.078,0.120,29905,p-Cresol,1ml,6
105,05-08-2025,10:36:58:106463,Puff,322,87.55,87.13,30.19,68.75,41051,0.053,0.142,29908,p-Cresol,1ml,6
106,05-08-2025,10:36:59:538462,Puff,322,80.81,84.59,30.20,68.76,41250,0.088,0.126,29909,p-Cresol,1ml,6
107,05-08-2025,10:37:00:967463,Puff,322,86.64,90.99,30.20,68.73,41450,0.065,0.139,29905,p-Cresol,1ml,6
108,05-08-2025,10:37:03:423463,Puff,322,87.33,87.28,30.18,68.92,40738,0.086,0.125,29911,p-Cresol,1ml,6
109,05-08-2025,10:37:04:858464,Puff,322,86.93,87.70,30.18,68.93,41051,0.070,0.144,29912,p-Cresol,1ml,6
110,05-08-2025,10:37:06:292464,Puff,322,82.38,85.36,30.18,68.88,41210,0.077,0.135,29912,p-Cresol,1ml,6
111,05-08-2025,10:37:07:726464,Puff,322,87.95,89.77,30.18,68.85,41491,0.058,0.144,29915,p-Cresol,1ml,6
112,05-08-2025,10:37:09:158465,Puff,322,86.42,88.41,30.19,68.81,41653,0.058,0.131,29915,p-Cresol,1ml,6
113,05-08-2025,10:37:10:591464,Puff,322,87.41,89.41,30.19,68.81,42146,0.062,0.147,29915,p-Cresol,1ml,6
114,05-08-2025,10:37:12:233465,Puff,322,85.57,89.93,30.18,68.81,41980,0.084,0.148,29917,p-Cresol,1ml,6
115,05-08-2025,10:37:13:666465,Puff,322,85.48,89.35,30.18,68.83,42314,0.078,0.157,29916,p-Cresol,1ml,6
116,05-08-2025,10:37:15:097464,Puff,322,85.68,89.79,30.19,68.81,42482,0.091,0.158,29916,p-Cresol,1ml,6
117,05-08-2025,10:37:16:536465,Puff,322,83.20,81.91,30.19,68.81,42909,0.069,0.165,29918,p-Cresol,1ml,6
118,05-08-2025,10:37:18:375465,Puff,322,87.80,90.81,30.18,68.86,42272,0.065,0.139,29917,p-Cresol,1ml,6
119,05-08-2025,10:37:20:219465,Puff,322,83.68,89.29,30.17,68.93,42188,0.079,0.148,29918,p-Cresol,1ml,6
120,05-08-2025,10:37:21:654465,Puff,322,85.63,86.51,30.17,68.91,42440,0.081,0.141,29919,p-Cresol,1ml,6
121,05-08-2025,10:37:23:087465,Puff,322,88.83,90.73,30.18,68.88,42695,0.101,0.155,29925,p-Cresol,1ml,6
122,05-08-2025,10:37:24:928465,Puff,322,86.13,86.19,30.17,68.91,42524,0.075,0.171,29923,p-Cresol,1ml,6
123,05-08-2025,10:37:26:363465,Puff,322,89.53,87.57,30.17,68.92,42780,0.074,0.169,29923,p-Cresol,1ml,6
124,05-08-2025,10:37:27:801465,Puff,322,85.49,87.21,30.18,68.89,43039,0.076,0.161,29923,p-Cresol,1ml,6
125,05-08-2025,10:37:29:434465,Puff,322,85.53,89.42,30.17,68.87,43083,0.067,0.166,29924,p-Cresol,1ml,6
126,05-08-2025,10:37:30:882465,Puff,322,85.48,87.69,30.18,68.87,43170,0.104,0.150,29926,p-Cresol,1ml,6
127,05-08-2025,10:37:32:303464,Puff,322,87.53,91.31,30.18,68.85,43257,0.103,0.154,29927,p-Cresol,1ml,6
128,05-08-2025,10:37:33:945465,Puff,322,87.11,90.72,30.18,68.88,43170,0.070,0.155,29929,p-Cresol,1ml,6
129,05-08-2025,10:37:35:396464,Puff,322,87.38,91.31,30.18,68.90,43257,0.089,0.179,29929,p-Cresol,1ml,6
130,05-08-2025,10:37:37:013465,Puff,322,87.41,92.35,30.18,68.90,43170,0.081,0.175,29928,p-Cresol,1ml,6
131,05-08-2025,10:37:38:447465,Puff,322,87.90,91.67,30.18,68.90,43567,0.086,0.176,29929,p-Cresol,1ml,6
132,05-08-2025,10:37:39:880465,Puff,322,90.67,90.33,30.18,68.89,43611,0.102,0.170,29929,p-Cresol,1ml,6
133,05-08-2025,10:37:41:320465,Puff,322,87.60,89.31,30.19,68.88,43745,0.083,0.179,29929,p-Cresol,1ml,6
134,05-08-2025,10:37:42:957465,Puff,322,87.25,89.27,30.18,68.90,43611,0.066,0.171,29927,p-Cresol,1ml,6
135,05-08-2025,10:37:44:401464,Puff,322,87.27,89.12,30.18,68.93,43745,0.109,0.185,29923,p-Cresol,1ml,6
