SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
47,14-08-2025,14:08:28:891269,Pre-Puff,596,69,0,19.7,53.53,208596,32355,N/A,N/A,N/A
48,14-08-2025,14:08:30:325270,Pre-Puff,596,70,0,19.67,53.41,211832,32361,N/A,N/A,N/A
49,14-08-2025,14:08:31:758268,Pre-Puff,596,66,0,19.64,53.26,211701,32364,N/A,N/A,N/A
50,14-08-2025,14:08:33:242269,Pre-Puff,596,64,0,19.61,53.09,215442,32368,N/A,N/A,N/A
51,14-08-2025,14:08:39:132268,Pre-Puff,596,70,0,19.49,52.96,168921,32384,N/A,N/A,N/A
52,14-08-2025,14:08:40:565270,Pre-Puff,596,69,0,19.42,52.97,181110,32395,N/A,N/A,N/A
53,14-08-2025,14:08:42:000269,Pre-Puff,596,64,0,19.36,52.96,195121,32407,N/A,N/A,N/A
54,14-08-2025,14:08:43:434270,Pre-Puff,596,70,0,19.32,52.98,203134,32414,N/A,N/A,N/A
55,14-08-2025,14:08:51:832269,Pre-Puff,596,68,0,19.21,53.59,149401,32425,N/A,N/A,N/A
56,14-08-2025,14:08:53:264270,Pre-Puff,596,69,0,19.16,53.64,165964,32429,N/A,N/A,N/A
57,14-08-2025,14:08:54:699269,Pre-Puff,596,70,0,19.12,53.65,178272,32428,N/A,N/A,N/A
58,14-08-2025,14:08:56:131270,Pre-Puff,596,70,0,19.09,53.63,192916,32435,N/A,N/A,N/A
59,14-08-2025,14:08:57:565269,Pre-Puff,596,68,0,19.08,53.62,198295,32433,N/A,N/A,N/A
60,14-08-2025,14:08:58:999270,Pre-Puff,596,71,0,19.06,53.59,203740,32432,N/A,N/A,N/A
61,14-08-2025,14:09:00:433269,Pre-Puff,596,71,0,19.05,53.55,208724,32432,N/A,N/A,N/A
62,14-08-2025,14:09:01:869270,Pre-Puff,596,69,0,19.04,53.52,210656,32429,N/A,N/A,N/A
63,14-08-2025,14:09:03:300269,Pre-Puff,596,69,0,19.03,53.49,213823,32431,N/A,N/A,N/A
64,14-08-2025,14:09:04:733270,Pre-Puff,596,65,0,19.03,53.45,217225,32435,N/A,N/A,N/A
65,14-08-2025,14:09:06:168268,Pre-Puff,596,69,0,19.02,53.4,217502,32438,N/A,N/A,N/A
66,14-08-2025,14:09:07:601270,Pre-Puff,596,68,0,19.02,53.34,219037,32432,N/A,N/A,N/A
67,14-08-2025,14:09:13:746269,Pre-Puff,596,64,0,18.96,53.43,170780,32436,N/A,N/A,N/A
68,14-08-2025,14:09:15:179270,Pre-Puff,596,70,0,18.94,53.44,183446,32438,N/A,N/A,N/A
69,14-08-2025,14:09:16:614269,Pre-Puff,596,70,0,18.92,53.38,199105,32442,N/A,N/A,N/A
70,14-08-2025,14:09:18:047270,Pre-Puff,596,70,0,18.91,53.31,205457,32445,N/A,N/A,N/A
71,14-08-2025,14:09:19:480269,Pre-Puff,596,64,0,18.89,53.21,211832,32446,N/A,N/A,N/A
72,14-08-2025,14:09:22:348270,Pre-Puff,596,69,0,18.81,53.1,196696,32449,N/A,N/A,N/A
73,14-08-2025,14:09:25:829269,Pre-Puff,596,70,0,18.73,53.13,179208,32459,N/A,N/A,N/A
74,14-08-2025,14:09:27:265411,Pre-Puff,596,63,0,18.68,53.15,196469,32465,N/A,N/A,N/A
75,14-08-2025,14:09:30:951268,Pre-Puff,596,68,0,18.61,53.36,177716,32474,N/A,N/A,N/A
76,14-08-2025,14:09:32:384270,Pre-Puff,596,70,0,18.57,53.45,193682,32479,N/A,N/A,N/A
77,14-08-2025,14:09:33:821269,Pre-Puff,596,68,0,18.55,53.49,203619,32483,N/A,N/A,N/A
78,14-08-2025,14:09:35:251270,Pre-Puff,596,68,0,18.53,53.52,207834,32480,N/A,N/A,N/A
79,14-08-2025,14:09:40:985269,Pre-Puff,596,64,0,18.47,53.85,168587,32482,N/A,N/A,N/A
80,14-08-2025,14:09:42:419270,Pre-Puff,596,70,0,18.45,53.91,182661,32478,N/A,N/A,N/A
81,14-08-2025,14:09:47:383268,Pre-Puff,596,71,0,18.41,54.03,164207,32481,N/A,N/A,N/A
82,14-08-2025,14:09:48:768270,Pre-Puff,596,65,0,18.4,54.04,180154,32479,N/A,N/A,N/A
83,14-08-2025,14:09:50:203269,Pre-Puff,596,70,0,18.4,53.97,194455,32481,N/A,N/A,N/A
84,14-08-2025,14:09:55:937270,Pre-Puff,596,70,0,18.35,53.87,162025,32483,N/A,N/A,N/A
85,14-08-2025,14:09:57:372269,Pre-Puff,596,68,0,18.34,53.83,177162,32484,N/A,N/A,N/A
86,14-08-2025,14:09:58:806270,Pre-Puff,596,69,0,18.34,53.76,192916,32486,N/A,N/A,N/A
87,14-08-2025,14:10:00:241269,Pre-Puff,596,70,0,18.33,53.66,201813,32487,N/A,N/A,N/A
88,14-08-2025,14:10:01:676270,Pre-Puff,596,69,0,18.32,53.55,209879,32488,N/A,N/A,N/A
89,14-08-2025,14:10:04:334269,Pre-Puff,596,70,0,18.28,53.4,199221,32493,N/A,N/A,N/A
90,14-08-2025,14:10:05:768270,Pre-Puff,596,70,0,18.26,53.4,207455,32497,N/A,N/A,N/A
91,14-08-2025,14:10:07:203268,Pre-Puff,596,67,0,18.25,53.34,213555,32498,N/A,N/A,N/A
92,14-08-2025,14:10:08:635270,Pre-Puff,596,69,0,18.23,53.28,217502,32504,N/A,N/A,N/A
93,14-08-2025,14:10:10:070269,Pre-Puff,596,70,0,18.23,53.23,222463,32506,N/A,N/A,N/A
94,14-08-2025,14:10:11:504270,Pre-Puff,596,64,0,18.22,53.16,224512,32508,N/A,N/A,N/A
95,14-08-2025,14:10:17:238269,Pre-Puff,596,63,0,18.15,53.34,179397,32519,N/A,N/A,N/A
96,14-08-2025,14:10:19:901270,Pre-Puff,596,67,0,18.1,53.41,179775,32527,N/A,N/A,N/A
97,14-08-2025,14:10:21:334269,Pre-Puff,596,66,0,18.09,53.42,198065,32535,N/A,N/A,N/A
98,14-08-2025,14:10:34:648270,Pre-Puff,596,66,0,18.03,53.86,136278,32537,N/A,N/A,N/A
99,14-08-2025,14:10:40:586269,Pre-Puff,596,69,0,17.98,53.85,132676,32533,N/A,N/A,N/A
