SNO,Date,Time,HeaterProfile,BME_Temp,BME_Hum,BME_GasResistance
1,14-08-2025,10:49:08:874191,418,26.39,71.68,5684
2,14-08-2025,10:49:10:224828,418,26.44,71.33,8298
3,14-08-2025,10:49:11:455828,418,26.5,71.04,15030
4,14-08-2025,10:49:12:884828,418,26.55,70.73,21541
5,14-08-2025,10:49:14:317828,418,26.58,70.42,27990
6,14-08-2025,10:49:15:751828,418,26.61,70.15,33534
7,14-08-2025,10:49:17:187828,418,26.64,69.93,38565
8,14-08-2025,10:49:18:618828,418,26.67,69.79,43039
9,14-08-2025,10:49:20:052828,418,26.69,69.75,47743
10,14-08-2025,10:49:21:897828,418,26.7,69.69,50245
11,14-08-2025,10:49:23:329828,418,26.72,69.65,54444
12,14-08-2025,10:49:24:762828,418,26.74,69.6,57373
13,14-08-2025,10:49:26:196828,418,26.76,69.51,60591
14,14-08-2025,10:49:27:632828,418,26.78,69.44,63007
15,14-08-2025,10:49:29:065828,418,26.8,69.28,65322
16,14-08-2025,10:49:30:505828,418,26.82,69.2,67492
17,14-08-2025,10:49:31:935828,418,26.83,69.14,69245
18,14-08-2025,10:49:33:980828,418,26.82,69.18,68248
19,14-08-2025,10:49:35:412828,418,26.84,69.14,71448
20,14-08-2025,10:49:36:848828,418,26.86,69.03,73478
21,14-08-2025,10:49:38:279828,418,26.87,68.96,74963
22,14-08-2025,10:49:39:713828,418,26.89,68.83,76715
23,14-08-2025,10:49:41:146828,418,26.91,68.77,77835
24,14-08-2025,10:49:42:580828,418,26.92,68.74,78696
25,14-08-2025,10:49:44:015828,418,26.94,68.7,80477
26,14-08-2025,10:49:45:447828,418,26.95,68.52,81476
27,14-08-2025,10:49:46:881828,418,26.95,68.21,82580
28,14-08-2025,10:49:48:314828,418,26.95,67.8,84293
29,14-08-2025,10:49:49:545828,418,26.97,67.41,86428
30,14-08-2025,10:49:54:051828,418,26.91,66.61,71930
31,14-08-2025,10:49:55:482828,418,26.89,66.23,80250
32,14-08-2025,10:49:56:916828,418,26.89,65.8,83469
33,14-08-2025,10:49:58:355828,418,26.88,65.55,85819
34,14-08-2025,10:49:59:783828,418,26.88,65.4,87671
35,14-08-2025,10:50:01:217828,418,26.89,65.28,88306
36,14-08-2025,10:50:03:265828,418,26.87,65.23,84965
37,14-08-2025,10:50:04:497828,418,26.88,65.24,89416
38,14-08-2025,10:50:05:927828,418,26.89,65.19,91038
39,14-08-2025,10:50:07:361828,418,26.89,65.14,91822
40,14-08-2025,10:50:08:796828,418,26.9,65.05,91921
41,14-08-2025,10:50:10:023828,418,26.91,64.95,95754
42,14-08-2025,10:50:11:252828,418,26.93,64.8,97338
43,14-08-2025,10:50:12:892828,418,26.92,64.7,94587
44,14-08-2025,10:50:14:325828,418,26.93,64.65,95593
45,14-08-2025,10:50:15:758828,418,26.93,64.59,96403
46,14-08-2025,10:50:17:191828,418,26.93,64.52,96622
47,14-08-2025,10:50:18:420828,418,26.94,64.4,98918
48,14-08-2025,10:50:19:649828,418,26.96,64.26,100254
49,14-08-2025,10:50:21:082828,418,26.96,64.17,98975
50,14-08-2025,10:50:22:723828,418,26.95,64.18,96731
51,14-08-2025,10:50:24:154828,418,26.94,64.18,97728
52,14-08-2025,10:50:25:793828,418,26.93,64.15,96951
53,14-08-2025,10:50:27:227828,418,26.93,64.07,98065
54,14-08-2025,10:50:28:455876,418,26.94,63.91,100966
55,14-08-2025,10:50:29:889828,418,26.94,63.6,100906
56,14-08-2025,10:50:31:322828,418,26.93,63.35,101205
57,14-08-2025,10:50:32:756828,418,26.92,63.1,101688
58,14-08-2025,10:50:34:190828,418,26.9,62.71,103101
59,14-08-2025,10:50:35:625828,418,26.88,62.24,103163
60,14-08-2025,10:50:37:058828,418,26.86,61.8,103538
61,14-08-2025,10:50:38:490828,418,26.85,61.5,104043
62,14-08-2025,10:50:39:924828,418,26.83,61.29,104298
63,14-08-2025,10:50:41:562828,418,26.8,61.08,102543
64,14-08-2025,10:50:42:996828,418,26.78,60.92,103917
65,14-08-2025,10:50:44:430828,418,26.77,60.84,104425
66,14-08-2025,10:50:45:658828,418,26.77,60.81,106911
67,14-08-2025,10:50:46:887828,418,26.77,60.76,108268
68,14-08-2025,10:50:48:322828,418,26.76,60.66,106378
69,14-08-2025,10:50:49:756828,418,26.75,60.67,105719
70,14-08-2025,10:50:51:188828,418,26.74,60.77,105068
71,14-08-2025,10:50:52:622828,418,26.73,60.93,105393
72,14-08-2025,10:50:54:055828,418,26.73,61.14,105133
73,14-08-2025,10:50:55:496828,418,26.73,61.29,104939
74,14-08-2025,10:50:56:719828,418,26.74,61.38,107450
75,14-08-2025,10:50:57:948828,418,26.75,61.38,107857
76,14-08-2025,10:50:59:380828,418,26.74,61.43,106911
77,14-08-2025,10:51:00:814828,418,26.74,61.49,106777
78,14-08-2025,10:51:02:864828,418,26.71,61.62,100313
79,14-08-2025,10:51:04:297828,418,26.71,61.65,103038
80,14-08-2025,10:51:05:526828,418,26.72,61.58,107112
81,14-08-2025,10:51:06:962828,418,26.72,61.35,106444
82,14-08-2025,10:51:08:391828,418,26.72,61.29,106378
83,14-08-2025,10:51:09:825828,418,26.72,61.26,106246
84,14-08-2025,10:51:11:258828,418,26.72,61.24,106511
85,14-08-2025,10:51:12:692828,418,26.72,61.19,106711
86,14-08-2025,10:51:14:127828,418,26.71,61.06,107315
87,14-08-2025,10:51:15:354828,418,26.72,60.77,110654
88,14-08-2025,10:51:16:793828,418,26.7,60.29,109800
89,14-08-2025,10:51:18:222828,418,26.68,59.76,110226
90,14-08-2025,10:51:19:456828,418,26.67,59.29,112700
91,14-08-2025,10:51:20:884828,418,26.65,58.81,111961
92,14-08-2025,10:51:22:120828,418,26.63,58.42,113601
93,14-08-2025,10:51:23:547828,418,26.6,58.01,112478
94,14-08-2025,10:51:24:980828,418,26.57,57.75,111668
95,14-08-2025,10:51:26:211828,418,26.56,57.6,114669
96,14-08-2025,10:51:27:438828,418,26.55,57.48,115056
97,14-08-2025,10:51:28:872828,418,26.52,57.41,113450
98,14-08-2025,10:51:30:309828,418,26.5,57.41,112256
99,14-08-2025,10:51:31:739828,418,26.48,57.53,111814
100,14-08-2025,10:51:34:196828,418,26.44,57.92,100906
101,14-08-2025,10:51:35:630828,418,26.42,58.09,105328
102,14-08-2025,10:51:37:067828,418,26.42,58.26,107450
103,14-08-2025,10:51:38:500828,418,26.41,58.33,108820
104,14-08-2025,10:51:39:937828,418,26.41,58.24,109518
105,14-08-2025,10:51:41:366828,418,26.4,58.08,110083
106,14-08-2025,10:51:42:798828,418,26.4,58.1,109800
107,14-08-2025,10:51:44:231828,418,26.4,58.19,109800
108,14-08-2025,10:51:45:464828,418,26.41,58.29,112108
109,14-08-2025,10:51:46:894828,418,26.41,58.3,111814
110,14-08-2025,10:51:48:327828,418,26.4,58.19,111376
111,14-08-2025,10:51:49:761828,418,26.39,57.97,111741
112,14-08-2025,10:51:50:991828,418,26.39,57.73,115367
113,14-08-2025,10:51:52:423828,418,26.37,57.42,113752
114,14-08-2025,10:51:53:857828,418,26.36,57.14,113752
115,14-08-2025,10:51:55:086828,418,26.34,56.86,116390
116,14-08-2025,10:51:56:724828,418,26.3,56.44,113450
117,14-08-2025,10:51:58:160828,418,26.27,56.16,113601
118,14-08-2025,10:51:59:591828,418,26.24,55.97,114362
119,14-08-2025,10:52:01:025828,418,26.21,55.72,115133
120,14-08-2025,10:52:02:254828,418,26.2,55.47,118081
121,14-08-2025,10:52:03:687828,418,26.16,55.21,117028
122,14-08-2025,10:52:05:122828,418,26.13,55.03,116152
123,14-08-2025,10:52:06:557828,418,26.1,54.92,116073
124,14-08-2025,10:52:09:013832,418,26.05,54.99,105198
