SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
2814,13-08-2025,13:05:55:367846,Pre-Puff,386,81,0,19.57,43.29,197950,31353,N/A,N/A,N/A
2815,13-08-2025,13:05:56:801846,Pre-Puff,386,82,0,19.57,43.28,198411,31350,N/A,N/A,N/A
2816,13-08-2025,13:05:58:304846,Pre-Puff,386,80,0,19.57,43.24,197264,31352,N/A,N/A,N/A
2817,13-08-2025,13:05:59:873846,Pre-Puff,386,80,0,19.57,43.19,197264,31355,N/A,N/A,N/A
2818,13-08-2025,13:06:01:319846,Pre-Puff,386,81,0,19.56,43.12,197721,31360,N/A,N/A,N/A
2819,13-08-2025,13:06:02:743846,Pre-Puff,386,81,0,19.56,43.02,198873,31364,N/A,N/A,N/A
2820,13-08-2025,13:06:04:187846,Pre-Puff,386,80,0,19.56,42.95,199571,31365,N/A,N/A,N/A
2821,13-08-2025,13:06:05:607845,Pre-Puff,386,82,0,19.55,42.88,199571,31369,N/A,N/A,N/A
2822,13-08-2025,13:06:07:666854,Pre-Puff,386,79,0,19.53,42.76,194455,31370,N/A,N/A,N/A
2823,13-08-2025,13:06:10:546846,Pre-Puff,386,80,0,19.5,42.73,180727,31375,N/A,N/A,N/A
2824,13-08-2025,13:06:11:992846,Pre-Puff,386,82,0,19.49,42.74,184438,31373,N/A,N/A,N/A
2825,13-08-2025,13:06:13:390846,Pre-Puff,386,80,0,19.5,42.72,187066,31366,N/A,N/A,N/A
2826,13-08-2025,13:06:14:825846,Pre-Puff,386,80,0,19.5,42.7,193244,31368,N/A,N/A,N/A
2827,13-08-2025,13:06:16:279846,Pre-Puff,386,80,0,19.5,42.69,195457,31370,N/A,N/A,N/A
2828,13-08-2025,13:06:17:692846,Pre-Puff,386,82,0,19.51,42.68,195905,31370,N/A,N/A,N/A
2829,13-08-2025,13:06:19:330846,Pre-Puff,386,80,0,19.5,42.64,195457,31364,N/A,N/A,N/A
2830,13-08-2025,13:06:20:789846,Pre-Puff,386,81,0,19.5,42.61,196131,31364,N/A,N/A,N/A
2831,13-08-2025,13:06:22:404846,Pre-Puff,386,80,0,19.5,42.58,195121,31365,N/A,N/A,N/A
2832,13-08-2025,13:06:23:856846,Pre-Puff,386,82,0,19.51,42.54,197150,31365,N/A,N/A,N/A
2833,13-08-2025,13:06:25:269846,Pre-Puff,386,82,0,19.51,42.46,198180,31371,N/A,N/A,N/A
