SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_HeaterRes,SGP40_VOC,VOC,Concentration,Distance
1,14-08-2025,10:48:49:049561,Pre-Puff,402,59,0,26.46,73.2,8177,65535,N/A,N/A,N/A
2,14-08-2025,10:48:59:185962,Pre-Puff,402,63,0,26.52,72.59,15845,27592,N/A,N/A,N/A
3,14-08-2025,10:49:06:146960,Pre-Puff,402,66,0,26.56,71.39,23791,28441,N/A,N/A,N/A
4,14-08-2025,10:49:07:580962,Pre-Puff,402,67,0,26.62,71.01,33350,28495,N/A,N/A,N/A
5,14-08-2025,10:49:09:011961,Pre-Puff,402,67,0,26.67,70.7,41775,28579,N/A,N/A,N/A
6,14-08-2025,10:49:10:444962,Pre-Puff,402,67,0,26.72,70.45,49951,28821,N/A,N/A,N/A
7,14-08-2025,10:49:11:877961,Pre-Puff,402,67,0,26.75,70.24,56499,28860,N/A,N/A,N/A
8,14-08-2025,10:49:13:312961,Pre-Puff,402,67,0,26.78,70.09,62362,28916,N/A,N/A,N/A
9,14-08-2025,10:49:14:748960,Pre-Puff,402,69,0,26.8,69.92,67226,28985,N/A,N/A,N/A
10,14-08-2025,10:49:17:612961,Pre-Puff,402,70,0,26.8,69.91,66753,29235,N/A,N/A,N/A
11,14-08-2025,10:49:21:094960,Pre-Puff,402,69,0,26.79,69.95,66338,29295,N/A,N/A,N/A
12,14-08-2025,10:49:22:530962,Pre-Puff,402,69,0,26.81,69.86,72913,29347,N/A,N/A,N/A
13,14-08-2025,10:49:29:698058,Pre-Puff,402,62,0,26.8,70.27,63476,29613,N/A,N/A,N/A
14,14-08-2025,10:49:31:130961,Pre-Puff,402,69,0,26.83,70.07,73038,29633,N/A,N/A,N/A
15,14-08-2025,10:49:32:567961,Pre-Puff,402,70,0,26.85,69.81,78769,29660,N/A,N/A,N/A
16,14-08-2025,10:49:33:998962,Pre-Puff,402,69,0,26.88,69.61,83062,29683,N/A,N/A,N/A
17,14-08-2025,10:49:35:431961,Pre-Puff,402,64,0,26.91,69.45,86340,29713,N/A,N/A,N/A
18,14-08-2025,10:49:38:508962,Pre-Puff,402,67,0,26.9,69.27,82024,29746,N/A,N/A,N/A
19,14-08-2025,10:49:39:940961,Pre-Puff,402,64,0,26.91,69.07,87761,29777,N/A,N/A,N/A
20,14-08-2025,10:49:41:377962,Pre-Puff,402,69,0,26.93,68.78,91038,29811,N/A,N/A,N/A
21,14-08-2025,10:49:44:037961,Pre-Puff,402,69,0,26.92,68.54,87851,29847,N/A,N/A,N/A
22,14-08-2025,10:49:45:467962,Pre-Puff,402,69,0,26.92,68.27,94587,29880,N/A,N/A,N/A
23,14-08-2025,10:49:46:902961,Pre-Puff,402,64,0,26.92,67.85,98348,29911,N/A,N/A,N/A
24,14-08-2025,10:49:48:335961,Pre-Puff,402,68,0,26.9,67.38,100787,29944,N/A,N/A,N/A
25,14-08-2025,10:49:49:768960,Pre-Puff,402,71,0,26.88,66.96,103917,29974,N/A,N/A,N/A
26,14-08-2025,10:49:51:202969,Pre-Puff,402,64,0,26.84,66.54,105588,30008,N/A,N/A,N/A
27,14-08-2025,10:49:52:637961,Pre-Puff,402,69,0,26.8,66.11,107315,30041,N/A,N/A,N/A
28,14-08-2025,10:49:54:071962,Pre-Puff,402,69,0,26.76,65.82,108751,30073,N/A,N/A,N/A
29,14-08-2025,10:49:55:708961,Pre-Puff,402,71,0,26.71,65.6,107721,30107,N/A,N/A,N/A
30,14-08-2025,10:49:57:142962,Pre-Puff,402,70,0,26.69,65.54,109800,30136,N/A,N/A,N/A
31,14-08-2025,10:49:58:576961,Pre-Puff,402,69,0,26.67,65.54,110583,30159,N/A,N/A,N/A
32,14-08-2025,10:50:00:013962,Pre-Puff,402,70,0,26.65,65.59,111014,30178,N/A,N/A,N/A
33,14-08-2025,10:50:03:287961,Pre-Puff,402,71,0,26.61,66.08,100846,30200,N/A,N/A,N/A
34,14-08-2025,10:50:04:726961,Pre-Puff,402,69,0,26.59,66.17,106511,30216,N/A,N/A,N/A
35,14-08-2025,10:50:06:153960,Pre-Puff,402,65,0,26.59,66.18,109448,30223,N/A,N/A,N/A
36,14-08-2025,10:50:08:612961,Pre-Puff,402,70,0,26.56,66.29,104489,30236,N/A,N/A,N/A
37,14-08-2025,10:50:10:045960,Pre-Puff,402,69,0,26.57,66.3,109518,30246,N/A,N/A,N/A
38,14-08-2025,10:50:13:324962,Pre-Puff,402,71,0,26.54,66.35,101145,30261,N/A,N/A,N/A
39,14-08-2025,10:50:14:762961,Pre-Puff,402,71,0,26.54,66.21,107112,30271,N/A,N/A,N/A
40,14-08-2025,10:50:16:190962,Pre-Puff,402,65,0,26.55,66.01,111304,30280,N/A,N/A,N/A
41,14-08-2025,10:50:21:584961,Pre-Puff,402,71,0,26.51,65.78,94065,30299,N/A,N/A,N/A
42,14-08-2025,10:50:22:954961,Pre-Puff,402,71,0,26.51,65.59,103917,30311,N/A,N/A,N/A
43,14-08-2025,10:50:24:382960,Pre-Puff,402,71,0,26.52,65.39,109028,30324,N/A,N/A,N/A
44,14-08-2025,10:50:25:816962,Pre-Puff,402,70,0,26.52,65.22,113224,30340,N/A,N/A,N/A
45,14-08-2025,10:50:27:250960,Pre-Puff,402,71,0,26.52,65.04,116073,30357,N/A,N/A,N/A
46,14-08-2025,10:50:28:686962,Pre-Puff,402,64,0,26.52,64.79,117108,30375,N/A,N/A,N/A
47,14-08-2025,10:50:30:117961,Pre-Puff,402,71,0,26.5,64.49,119822,30396,N/A,N/A,N/A
48,14-08-2025,10:50:31:553962,Pre-Puff,402,71,0,26.48,64.07,121528,30413,N/A,N/A,N/A
49,14-08-2025,10:50:32:984961,Pre-Puff,402,69,0,26.43,63.64,123641,30437,N/A,N/A,N/A
50,14-08-2025,10:50:34:418962,Pre-Puff,402,64,0,26.38,63.2,123910,30458,N/A,N/A,N/A
51,14-08-2025,10:50:35:852961,Pre-Puff,402,69,0,26.34,62.83,124817,30480,N/A,N/A,N/A
52,14-08-2025,10:50:37:285962,Pre-Puff,402,69,0,26.29,62.55,126108,30509,N/A,N/A,N/A
53,14-08-2025,10:50:38:719961,Pre-Puff,402,71,0,26.24,62.32,127047,30529,N/A,N/A,N/A
54,14-08-2025,10:50:40:153962,Pre-Puff,402,70,0,26.19,62.17,127521,30549,N/A,N/A,N/A
55,14-08-2025,10:50:41:588961,Pre-Puff,402,70,0,26.15,62.07,128578,30567,N/A,N/A,N/A
56,14-08-2025,10:50:44:455962,Pre-Puff,402,64,0,26.09,62.31,117512,30582,N/A,N/A,N/A
57,14-08-2025,10:50:47:526961,Pre-Puff,402,69,0,26.03,62.74,111449,30596,N/A,N/A,N/A
58,14-08-2025,10:50:48:961961,Pre-Puff,402,72,0,26.01,62.85,118326,30608,N/A,N/A,N/A
59,14-08-2025,10:50:50:394961,Pre-Puff,402,71,0,26,62.89,123284,30614,N/A,N/A,N/A
60,14-08-2025,10:50:51:828962,Pre-Puff,402,73,0,25.99,62.93,125000,30617,N/A,N/A,N/A
61,14-08-2025,10:50:54:490961,Pre-Puff,402,70,0,25.96,63.1,116868,30622,N/A,N/A,N/A
62,14-08-2025,10:50:55:928962,Pre-Puff,402,66,0,25.96,63.12,121962,30626,N/A,N/A,N/A
