SNO,Date,Time,ADC,Temp_C,Humidity_pct,VOC,Phase,Voltage_V
68,23-09-2025,13:18:18:890836,31806,21.66,50.20,p-cresol,Pre_Puff,2.66
69,23-09-2025,13:18:19:922836,31802,21.68,50.19,p-cresol,Pre_Puff,2.67
70,23-09-2025,13:18:21:145836,31801,21.70,50.20,p-cresol,Pre_Puff,2.66
71,23-09-2025,13:18:22:170836,31799,21.69,50.38,p-cresol,Pre_Puff,2.66
72,23-09-2025,13:18:23:192836,31801,21.68,51.41,p-cresol,Pre_Puff,2.68
73,23-09-2025,13:18:24:627836,31802,21.78,50.43,p-cresol,Pre_Puff,2.67
74,23-09-2025,13:18:25:653853,31801,21.87,50.27,p-cresol,Pre_Puff,2.66
75,23-09-2025,13:18:26:676836,31801,21.96,50.14,p-cresol,Pre_Puff,2.66
76,23-09-2025,13:18:27:696836,31799,22.05,50.04,p-cresol,Pre_Puff,2.69
77,23-09-2025,13:18:28:929836,31800,22.11,49.89,p-cresol,Pre_Puff,2.66
78,23-09-2025,13:18:30:158836,31797,22.16,49.80,p-cresol,Pre_Puff,2.66
79,23-09-2025,13:18:31:179836,31800,22.21,49.75,p-cresol,Pre_Puff,2.67
80,23-09-2025,13:18:32:207836,31802,22.24,49.70,p-cresol,Pre_Puff,2.70
81,23-09-2025,13:18:33:230836,31807,22.28,49.66,p-cresol,Pre_Puff,2.67
82,23-09-2025,13:18:34:664836,31808,22.32,49.66,p-cresol,Pre_Puff,2.67
83,23-09-2025,13:18:36:300836,31802,22.34,49.61,p-cresol,Pre_Puff,2.68
84,23-09-2025,13:18:37:330836,31801,22.37,49.53,p-cresol,Pre_Puff,2.69
85,23-09-2025,13:18:38:553836,31797,22.39,49.47,p-cresol,Pre_Puff,2.68
86,23-09-2025,13:18:39:578836,31802,22.41,49.43,p-cresol,Pre_Puff,2.68
87,23-09-2025,13:18:40:602851,31802,22.43,49.41,p-cresol,Pre_Puff,2.69
88,23-09-2025,13:18:42:519836,31805,22.45,49.42,p-cresol,Pre_Puff,2.68
89,23-09-2025,13:20:17:699837,31787,22.47,49.41,p-cresol,Pre_Puff,2.67
90,23-09-2025,13:20:19:325837,31770,22.49,49.32,p-cresol,Pre_Puff,2.69
91,23-09-2025,13:20:20:549836,31763,22.53,49.23,p-cresol,Pre_Puff,2.68
92,23-09-2025,13:20:21:568836,31758,22.55,49.10,p-cresol,Pre_Puff,2.69
93,23-09-2025,13:20:23:616836,31756,22.56,49.00,p-cresol,Pre_Puff,2.69
94,23-09-2025,13:20:24:641836,31754,22.56,48.94,p-cresol,Pre_Puff,2.67
95,23-09-2025,13:20:25:871836,31751,22.57,48.99,p-cresol,Pre_Puff,2.68
96,23-09-2025,13:20:26:893836,31754,22.59,49.03,p-cresol,Pre_Puff,2.65
97,23-09-2025,13:20:27:917836,31755,22.59,49.06,p-cresol,Pre_Puff,2.67
98,23-09-2025,13:20:29:148836,31753,22.58,49.09,p-cresol,Pre_Puff,2.66
99,23-09-2025,13:20:30:169836,31751,22.57,49.10,p-cresol,Pre_Puff,2.67
100,23-09-2025,13:20:31:399942,31748,22.60,49.09,p-cresol,Pre_Puff,2.66
101,23-09-2025,13:20:33:652836,31748,22.64,48.99,p-cresol,Pre_Puff,2.67
102,23-09-2025,13:20:34:880836,31750,22.66,48.92,p-cresol,Pre_Puff,2.66
103,23-09-2025,13:20:36:326836,31747,22.68,48.92,p-cresol,Pre_Puff,2.67
104,23-09-2025,13:20:37:555836,31747,22.70,48.90,p-cresol,Pre_Puff,2.68
105,23-09-2025,13:20:38:771836,31744,22.71,48.86,p-cresol,Pre_Puff,2.69
106,23-09-2025,13:20:40:005836,31744,22.69,49.03,p-cresol,Pre_Puff,2.69
