SNO,Date,Time,ADC,Temp_C,Humidity_pct,VOC,Phase,Voltage_V
69,23-09-2025,11:00:57:571708,105,24.52,57.41,p-cresol,Pre_Puff,4.03
70,23-09-2025,11:00:58:602709,103,24.53,57.41,p-cresol,Pre_Puff,4.05
71,23-09-2025,11:00:59:719709,111,24.54,57.39,p-cresol,Pre_Puff,4.12
72,23-09-2025,11:01:00:857709,112,24.55,57.38,p-cresol,Pre_Puff,4.09
73,23-09-2025,11:01:02:075708,101,24.57,57.36,p-cresol,Pre_Puff,4.04
74,23-09-2025,11:01:03:099710,105,24.57,57.36,p-cresol,Pre_Puff,4.05
75,23-09-2025,11:01:04:225708,105,24.6,57.35,p-cresol,Pre_Puff,4.12
76,23-09-2025,11:01:05:249709,109,24.62,57.3,p-cresol,Pre_Puff,4.07
77,23-09-2025,11:01:06:580709,105,24.61,57.33,p-cresol,Pre_Puff,4.02
78,23-09-2025,11:01:07:604709,103,24.61,57.42,p-cresol,Pre_Puff,4.01
79,23-09-2025,11:01:08:625701,109,24.63,57.43,p-cresol,Pre_Puff,4.06
80,23-09-2025,11:01:09:649703,107,24.63,57.42,p-cresol,Pre_Puff,4.08
81,23-09-2025,11:01:11:088708,102,24.64,57.42,p-cresol,Pre_Puff,4.02
82,23-09-2025,11:01:12:317709,102,24.64,57.4,p-cresol,Pre_Puff,4.03
83,23-09-2025,11:01:13:338709,103,24.64,57.4,p-cresol,Pre_Puff,4.03
84,23-09-2025,11:01:14:360702,107,24.64,57.42,p-cresol,Pre_Puff,4.07
85,23-09-2025,11:01:15:797708,107,24.65,57.42,p-cresol,Pre_Puff,4.07
86,23-09-2025,11:01:17:025710,107,24.65,57.42,p-cresol,Pre_Puff,4.07
87,23-09-2025,11:01:18:358708,102,24.65,57.42,p-cresol,Pre_Puff,4.03
88,23-09-2025,11:01:19:380709,104,24.64,57.46,p-cresol,Pre_Puff,4.03
89,23-09-2025,11:01:23:172709,107,24.65,57.48,p-cresol,Pre_Puff,4.07
90,23-09-2025,11:01:24:193709,109,24.65,57.47,p-cresol,Pre_Puff,4.08
91,23-09-2025,11:01:29:518708,111,24.66,57.49,p-cresol,Pre_Puff,4.06
92,23-09-2025,11:01:30:542710,109,24.66,57.49,p-cresol,Pre_Puff,4.06
93,23-09-2025,11:01:31:564701,103,24.67,57.53,p-cresol,Pre_Puff,4.02
94,23-09-2025,11:01:32:588702,104,24.68,57.52,p-cresol,Pre_Puff,4.01
95,23-09-2025,11:01:33:819709,106,24.68,57.47,p-cresol,Pre_Puff,4.04
96,23-09-2025,11:01:35:048709,109,24.68,57.45,p-cresol,Pre_Puff,4.07
97,23-09-2025,11:01:36:072708,103,24.67,57.43,p-cresol,Pre_Puff,4.01
98,23-09-2025,11:01:37:093703,105,24.67,57.45,p-cresol,Pre_Puff,4.06
99,23-09-2025,11:01:38:118701,107,24.68,57.44,p-cresol,Pre_Puff,4.08
100,23-09-2025,11:01:39:453709,106,24.67,57.45,p-cresol,Pre_Puff,4.07
101,23-09-2025,11:01:40:477709,107,24.68,57.43,p-cresol,Pre_Puff,4.06
102,23-09-2025,11:01:41:500702,102,24.68,57.4,p-cresol,Pre_Puff,4.06
103,23-09-2025,11:01:42:728708,108,24.68,57.37,p-cresol,Pre_Puff,4.07
104,23-09-2025,11:01:43:752710,107,24.69,57.38,p-cresol,Pre_Puff,4.06
105,23-09-2025,11:01:44:981708,108,24.69,57.36,p-cresol,Pre_Puff,4.08
106,23-09-2025,11:01:46:006702,107,24.67,57.57,p-cresol,Pre_Puff,4.2
107,23-09-2025,11:01:47:425709,100,24.67,57.75,p-cresol,Pre_Puff,4.02
108,23-09-2025,11:01:48:465709,108,24.66,57.95,p-cresol,Pre_Puff,4.11
109,23-09-2025,11:01:49:487708,106,24.68,58.03,p-cresol,Pre_Puff,4.06
110,23-09-2025,11:01:50:510703,107,24.69,58.04,p-cresol,Pre_Puff,4.06
111,23-09-2025,11:01:51:646708,103,24.71,58.08,p-cresol,Pre_Puff,4.19
112,23-09-2025,11:01:52:765709,105,24.72,58.09,p-cresol,Pre_Puff,4.07
113,23-09-2025,11:01:53:787709,107,24.73,58.12,p-cresol,Pre_Puff,4.07
114,23-09-2025,11:01:55:120709,109,24.75,58.07,p-cresol,Pre_Puff,4.07
115,23-09-2025,11:01:56:142708,106,24.75,58.02,p-cresol,Pre_Puff,4.1
116,23-09-2025,11:01:57:166703,107,24.75,57.95,p-cresol,Pre_Puff,4.04
117,23-09-2025,11:01:58:295708,106,24.77,57.91,p-cresol,Pre_Puff,4.1
118,23-09-2025,11:01:59:317709,102,24.78,57.84,p-cresol,Pre_Puff,4.02
119,23-09-2025,11:02:01:262709,109,24.79,57.78,p-cresol,Pre_Puff,4.09
120,23-09-2025,11:02:02:286709,105,24.78,57.76,p-cresol,Pre_Puff,4.06
121,23-09-2025,11:02:03:308701,111,24.79,57.74,p-cresol,Pre_Puff,4.01
122,23-09-2025,11:02:04:744710,108,24.8,57.7,p-cresol,Pre_Puff,4.06
123,23-09-2025,11:02:05:881708,112,24.8,57.64,p-cresol,Pre_Puff,4.06
124,23-09-2025,11:02:06:997709,105,24.81,57.62,p-cresol,Pre_Puff,4.06
125,23-09-2025,11:02:08:021709,115,24.83,57.61,p-cresol,Pre_Puff,4.07
126,23-09-2025,11:02:10:485727,105,24.82,57.73,p-cresol,Pre_Puff,4.08
127,23-09-2025,11:02:11:604708,98,24.84,57.8,p-cresol,Pre_Puff,4.04
128,23-09-2025,11:02:12:733710,105,24.86,57.79,p-cresol,Pre_Puff,4.07
129,23-09-2025,11:02:13:857708,105,24.85,57.76,p-cresol,Pre_Puff,4.03
130,23-09-2025,11:02:14:986709,106,24.87,57.72,p-cresol,Pre_Puff,4.1
131,23-09-2025,11:02:16:008709,107,24.88,57.67,p-cresol,Pre_Puff,4.07
132,23-09-2025,11:02:17:032709,107,24.87,57.6,p-cresol,Pre_Puff,4.06
133,23-09-2025,11:02:18:570708,100,24.88,57.56,p-cresol,Pre_Puff,3.94
134,23-09-2025,11:02:19:592710,102,24.88,57.52,p-cresol,Pre_Puff,4.18
135,23-09-2025,11:02:20:613701,107,24.89,57.49,p-cresol,Pre_Puff,4.08
136,23-09-2025,11:02:21:845709,102,24.91,57.46,p-cresol,Pre_Puff,4.04
137,23-09-2025,11:02:22:980709,103,24.91,57.39,p-cresol,Pre_Puff,4.08
