SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
48,28-07-2025,21:49:08:436525,Pre-Puff,322,116,4095,30.37,61.68,89.23,30874,YES,N/A,0
49,28-07-2025,21:49:10:242528,Pre-Puff,322,80,4095,30.37,61.68,89.6,30874,YES,N/A,0
50,28-07-2025,21:49:12:048524,Pre-Puff,322,119,4095,30.36,61.72,89.98,30876,YES,N/A,0
51,28-07-2025,21:49:13:854528,Pre-Puff,322,117,4095,30.35,61.79,89.7,30881,YES,N/A,0
52,28-07-2025,21:49:17:060523,Pre-Puff,322,118,4095,30.26,61.95,86.51,30874,YES,N/A,0
53,28-07-2025,21:49:18:866528,Pre-Puff,322,80,4095,30.28,61.95,87.67,30871,YES,N/A,0
54,28-07-2025,21:49:20:672525,Pre-Puff,322,121,4095,30.29,61.92,88.4,30872,YES,N/A,0
55,28-07-2025,21:49:22:478528,Pre-Puff,322,80,4095,30.3,61.9,89.51,30875,YES,N/A,0
56,28-07-2025,21:49:24:284524,Pre-Puff,322,113,4095,30.31,61.88,89.6,30877,YES,N/A,0
57,28-07-2025,21:49:26:090528,Pre-Puff,322,80,4095,30.32,61.87,90.08,30876,YES,N/A,0
58,28-07-2025,21:49:27:896525,Pre-Puff,322,114,4095,30.33,61.87,89.79,30878,YES,N/A,0
59,28-07-2025,21:49:29:702528,Pre-Puff,322,122,4095,30.34,61.84,90.17,30875,YES,N/A,0
60,28-07-2025,21:49:32:908523,Pre-Puff,322,117,4095,30.26,62.19,85.82,30871,YES,N/A,0
61,28-07-2025,21:49:34:714528,Pre-Puff,322,119,4095,30.3,62.27,86.96,30870,YES,N/A,0
62,28-07-2025,21:49:36:520525,Pre-Puff,322,80,4095,30.32,62.32,87.85,30873,YES,N/A,0
63,28-07-2025,21:49:38:326528,Puff,322,122,4095,30.34,62.27,88.31,30868,YES,N/A,0
64,28-07-2025,21:49:40:132525,Puff,322,119,4095,30.36,62.35,88.67,30864,YES,N/A,0
65,28-07-2025,21:49:41:938528,Puff,322,119,4095,30.37,62.39,88.76,30858,YES,N/A,0
66,28-07-2025,21:49:43:744525,Puff,322,116,4095,30.38,62.35,89.14,30856,YES,N/A,0
67,28-07-2025,21:49:45:550528,Puff,322,119,4095,30.39,62.34,89.42,30853,YES,N/A,0
68,28-07-2025,21:49:47:356524,Puff,322,114,4095,30.4,62.37,89.04,30852,YES,N/A,0
69,28-07-2025,21:49:49:162528,Puff,322,121,4095,30.41,62.3,89.04,30849,YES,N/A,0
70,28-07-2025,21:49:50:968524,Puff,322,121,4095,30.42,62.24,89.42,30850,YES,N/A,0
71,28-07-2025,21:49:52:774528,Puff,322,80,4095,30.42,62.15,89.51,30853,YES,N/A,0
72,28-07-2025,21:49:54:580525,Puff,322,118,4095,30.42,62.08,89.6,30857,YES,N/A,0
73,28-07-2025,21:49:56:386528,Puff,322,122,4095,30.42,62.04,90.08,30856,YES,N/A,0
74,28-07-2025,21:49:59:592523,Puff,322,122,4095,30.34,62.14,86.69,30854,YES,N/A,0
75,28-07-2025,21:50:01:398528,Puff,322,79,4095,30.36,62.11,88.12,30848,YES,N/A,0
76,28-07-2025,21:50:03:204525,Puff,322,121,4095,30.39,62.03,88.86,30848,YES,N/A,0
77,28-07-2025,21:50:05:010528,Puff,322,80,4095,30.41,61.97,89.14,30852,YES,N/A,0
78,28-07-2025,21:50:06:816524,Puff,322,115,4095,30.42,61.92,89.42,30850,YES,N/A,0
79,28-07-2025,21:50:08:622528,Puff,322,121,4095,30.43,61.9,90.17,30852,YES,N/A,0
80,28-07-2025,21:50:10:428525,Puff,322,118,4095,30.43,61.91,88.86,30852,YES,N/A,0
81,28-07-2025,21:50:12:235655,Puff,322,103,4095,30.44,61.93,89.89,30844,YES,N/A,0
82,28-07-2025,21:50:14:041524,Puff,322,80,4095,30.44,61.95,89.7,30842,YES,N/A,0
83,28-07-2025,21:50:15:847528,Puff,322,119,4095,30.45,62.03,89.51,30845,YES,N/A,0
84,28-07-2025,21:50:17:653524,Puff,322,118,4095,30.45,62.02,89.23,30843,YES,N/A,0
85,28-07-2025,21:50:19:459528,Puff,322,119,4095,30.46,61.97,89.42,30846,YES,N/A,0
86,28-07-2025,21:50:21:265525,Puff,322,80,4095,30.46,61.89,90.17,30844,YES,N/A,0
87,28-07-2025,21:50:23:071528,Puff,322,122,4095,30.45,61.83,90.36,30849,YES,N/A,0
88,28-07-2025,21:50:26:277523,Puff,322,79,4095,30.35,61.91,87.13,30855,YES,N/A,0
89,28-07-2025,21:50:28:083528,Puff,322,120,4095,30.37,61.91,88.31,30855,YES,N/A,0
90,28-07-2025,21:50:29:889524,Puff,322,119,4095,30.38,61.94,88.95,30863,YES,N/A,0
91,28-07-2025,21:50:31:695528,Puff,322,119,4095,30.39,61.92,89.6,30863,YES,N/A,0
92,28-07-2025,21:50:33:501525,Puff,322,80,4095,30.4,61.89,89.42,30859,YES,N/A,0
93,28-07-2025,21:50:35:307528,Puff,322,119,4095,30.41,61.89,89.98,30857,YES,N/A,0
94,28-07-2025,21:50:37:113525,Puff,322,129,4095,30.41,61.87,90.27,30852,YES,N/A,0
95,28-07-2025,21:50:38:919528,Puff,322,119,4095,30.42,61.84,90.36,30856,YES,N/A,0
96,28-07-2025,21:50:40:725525,Puff,322,118,4095,30.42,61.82,90.27,30854,YES,N/A,0
97,28-07-2025,21:50:43:931527,Puff,322,117,4095,30.33,61.98,87.22,30850,YES,N/A,0
98,28-07-2025,21:50:45:737525,Puff,322,119,4095,30.35,61.96,88.21,30855,YES,N/A,0
99,28-07-2025,21:50:47:543528,Puff,322,80,4095,30.36,61.91,89.14,30858,YES,N/A,0
100,28-07-2025,21:50:49:349524,Puff,322,118,4095,30.37,61.86,89.51,30858,YES,N/A,0
101,28-07-2025,21:50:51:155528,Puff,322,119,4095,30.37,61.84,90.27,30857,YES,N/A,0
102,28-07-2025,21:50:52:961525,Puff,322,119,4095,30.38,61.85,90.36,30853,YES,N/A,0
103,28-07-2025,21:50:54:767528,Puff,322,80,4095,30.38,61.85,90.36,30850,YES,N/A,0
104,28-07-2025,21:50:56:573525,Puff,322,118,4095,30.38,61.88,89.98,30851,YES,N/A,0
